timestamp;open;high;low;close;volume;trade_count;vwap
2016-01-01 00:00:00+00:00;204.05;204.09;204.01;204.07;5657.0;25.0;204.056221
2016-01-04 09:00:00+00:00;201.18;201.39;200.83;200.84;41746.0;171.0;201.039843
2016-01-04 10:00:00+00:00;200.87;201.13;200.75;201.11;132855.0;174.0;200.958711
2016-01-04 11:00:00+00:00;201.08;201.12;200.26;200.4;268709.0;479.0;200.66399
2016-01-04 12:00:00+00:00;200.29;200.65;199.98;200.5;969105.0;1460.0;200.372499
2016-01-04 13:00:00+00:00;200.5;200.86;200.07;200.34;1506458.0;3161.0;200.626772
2016-01-04 14:00:00+00:00;200.35;200.56;199.59;200.22;26683674.0;87707.0;200.166643
2016-01-04 15:00:00+00:00;200.22;200.32;199.11;199.14;35440839.0;124172.0;199.687234
2016-01-04 16:00:00+00:00;199.15;199.59;198.59;199.38;34928599.0;115632.0;199.064069
2016-01-04 17:00:00+00:00;199.39;200.0;199.14;199.7901;21539358.0;61880.0;199.435822
2016-01-04 18:00:00+00:00;199.8;200.28;199.69;199.91;20689251.0;56262.0;199.977921
2016-01-04 19:00:00+00:00;199.91;200.16;199.32;199.6;19738607.0;58764.0;199.634213
2016-01-04 20:00:00+00:00;199.6;201.03;198.99;200.99;44499597.0;134873.0;199.989961
2016-01-04 21:00:00+00:00;201.0;201.51;200.89;201.45;17375036.0;8662.0;201.059712
2016-01-04 22:00:00+00:00;201.46;201.6;201.41;201.46;1291647.0;1140.0;201.469593
2016-01-04 23:00:00+00:00;201.46;201.76;201.43;201.7;328871.0;400.0;201.615706
2016-01-05 00:00:00+00:00;201.73;201.83;201.61;201.69;468344.0;515.0;201.713046
2016-01-05 09:00:00+00:00;201.14;201.14;200.33;200.61;23084.0;110.0;200.558247
2016-01-05 10:00:00+00:00;200.34;200.34;199.82;200.22;284429.0;524.0;200.109698
2016-01-05 11:00:00+00:00;200.2;200.33;200.01;200.14;91823.0;143.0;200.167343
2016-01-05 12:00:00+00:00;200.36;200.54;200.03;200.54;401328.0;679.0;200.251308
2016-01-05 13:00:00+00:00;199.93;202.225;199.93;201.31;1432685.0;2386.0;201.069005
2016-01-05 14:00:00+00:00;201.3;201.8;200.89;200.92;12533492.0;55447.0;201.406269
2016-01-05 15:00:00+00:00;200.92;201.49;200.35;201.3099;14264157.0;67989.0;200.874679
2016-01-05 16:00:00+00:00;201.3;201.435;200.6;200.88;11030071.0;48317.0;200.928679
2016-01-05 17:00:00+00:00;200.8814;200.89;200.05;200.6;10276406.0;48266.0;200.346426
2016-01-05 18:00:00+00:00;200.6;201.49;200.31;201.28;11404331.0;46499.0;200.933933
2016-01-05 19:00:00+00:00;201.2892;201.9;201.05;201.35;15090958.0;53054.0;201.469831
2016-01-05 20:00:00+00:00;201.34;201.68;200.78;201.43;22635304.0;90424.0;201.258266
2016-01-05 21:00:00+00:00;201.43;201.75;201.3;201.52;12696889.0;3823.0;201.426709
2016-01-05 22:00:00+00:00;201.56;201.56;201.49;201.55;163134.0;495.0;201.533644
2016-01-05 23:00:00+00:00;201.58;201.7;201.56;201.59;273925.0;320.0;201.6307
2016-01-06 00:00:00+00:00;201.57;201.76;201.45;201.65;116124.0;196.0;201.589272
2016-01-06 09:00:00+00:00;199.52;199.85;199.35;199.53;282108.0;488.0;199.580022
2016-01-06 10:00:00+00:00;199.5;199.59;198.75;198.79;163271.0;268.0;199.053813
2016-01-06 11:00:00+00:00;198.79;198.84;198.06;198.8;256517.0;414.0;198.539663
2016-01-06 12:00:00+00:00;198.8;198.83;197.87;197.97;1094727.0;1848.0;198.485003
2016-01-06 13:00:00+00:00;197.97;199.11;197.75;198.38;2253045.0;5815.0;198.119896
2016-01-06 14:00:00+00:00;198.38;199.31;197.98;199.2;20183627.0;86110.0;198.739998
2016-01-06 15:00:00+00:00;199.18;199.69;198.73;199.26;21645816.0;86246.0;199.155188
2016-01-06 16:00:00+00:00;199.25;200.06;199.21;199.32;13966215.0;60330.0;199.625707
2016-01-06 17:00:00+00:00;199.32;199.73;199.06;199.23;8483459.0;37251.0;199.320866
2016-01-06 18:00:00+00:00;199.235;199.32;198.68;198.731;8513053.0;37570.0;198.962151
2016-01-06 19:00:00+00:00;198.73;199.34;197.65;197.75;22693967.0;91635.0;198.544282
2016-01-06 20:00:00+00:00;197.75;198.93;197.6;198.79;36220511.0;132792.0;198.455344
2016-01-06 21:00:00+00:00;198.8;199.27;198.484;199.16;17527070.0;6608.0;198.867628
2016-01-06 22:00:00+00:00;199.2;199.28;199.2;199.28;258750.0;380.0;199.24729
2016-01-06 23:00:00+00:00;199.28;199.45;198.85;199.44;215870.0;327.0;199.197765
2016-01-07 00:00:00+00:00;199.44;199.56;199.24;199.29;189245.0;279.0;199.377806
2016-01-07 09:00:00+00:00;194.27;195.45;193.75;194.51;427570.0;884.0;194.144519
2016-01-07 10:00:00+00:00;194.49;194.87;193.83;194.35;155451.0;583.0;194.317912
2016-01-07 11:00:00+00:00;194.35;195.08;194.35;194.75;116444.0;422.0;194.731364
2016-01-07 12:00:00+00:00;194.73;195.22;194.5;194.91;794592.0;1672.0;194.860607
2016-01-07 13:00:00+00:00;194.91;196.95;193.68;195.27;2219586.0;4816.0;194.737534
2016-01-07 14:00:00+00:00;195.26;196.58;195.03;196.18;23756281.0;95521.0;195.778455
2016-01-07 15:00:00+00:00;196.18;197.44;195.66;197.2;24419845.0;107560.0;196.536686
2016-01-07 16:00:00+00:00;197.19;197.37;196.18;196.21;18306678.0;77086.0;196.688529
2016-01-07 17:00:00+00:00;196.21;196.49;195.651;195.73;14730481.0;57090.0;196.09579
2016-01-07 18:00:00+00:00;195.72;195.77;193.93;194.48;31810545.0;116202.0;194.707564
2016-01-07 19:00:00+00:00;194.48;195.17;193.8;194.345;30498124.0;121582.0;194.475692
2016-01-07 20:00:00+00:00;194.34;194.99;193.59;194.01;53579913.0;199020.0;194.327126
2016-01-07 21:00:00+00:00;194.01;196.27;193.42;193.96;14054150.0;11830.0;193.962919
2016-01-07 22:00:00+00:00;193.99;194.32;193.83;194.09;554749.0;919.0;193.957216
2016-01-07 23:00:00+00:00;194.1;194.24;193.45;194.13;444448.0;769.0;193.918968
2016-01-08 00:00:00+00:00;194.04;194.41;193.89;193.93;322891.0;490.0;194.131643
2016-01-08 09:00:00+00:00;196.24;196.45;195.87;196.25;89472.0;241.0;196.219046
2016-01-08 10:00:00+00:00;196.2;196.29;195.38;195.6;56424.0;125.0;195.724693
2016-01-08 11:00:00+00:00;195.6;195.64;194.33;194.75;258146.0;581.0;195.002234
2016-01-08 12:00:00+00:00;194.73;195.59;194.67;195.43;681156.0;1104.0;195.230096
2016-01-08 13:00:00+00:00;195.42;196.98;194.74;195.9;5998665.0;12689.0;196.17897
2016-01-08 14:00:00+00:00;195.9;196.11;194.73;195.4589;23625538.0;93008.0;195.248866
2016-01-08 15:00:00+00:00;195.46;195.46;194.1;194.31;30009294.0;120003.0;194.556163
2016-01-08 16:00:00+00:00;194.31;194.64;192.99;194.12;24487617.0;108180.0;193.734019
2016-01-08 17:00:00+00:00;194.125;194.85;193.95;194.3;13563600.0;62968.0;194.416538
2016-01-08 18:00:00+00:00;194.3;194.55;193.57;193.88;11567087.0;56587.0;194.021286
2016-01-08 19:00:00+00:00;193.89;194.25;193.16;193.355;21827799.0;85521.0;193.593554
2016-01-08 20:00:00+00:00;193.35;193.635;191.58;191.89;55654728.0;198751.0;192.471365
2016-01-08 21:00:00+00:00;191.91;193.7245;191.55;191.85;27499638.0;13785.0;191.909651
